MONTH,STATE,SEX,AGEGRP,YEAR,PRIMARYCOND,NVISITS
1,Alabama,1,40_49,2015,Strep pharyngitis,27
1,Alabama,1,40_49,2016,Strep pharyngitis,18
1,Alabama,1,40_49,2017,Strep pharyngitis,34
1,Alabama,1,40_49,2018,Strep pharyngitis,31
1,Alabama,1,50_59,2010,Strep pharyngitis,8
1,Alabama,1,50_59,2011,Strep pharyngitis,15
1,Alabama,1,50_59,2012,Strep pharyngitis,8
1,Alabama,1,50_59,2013,Strep pharyngitis,8
1,Alabama,1,50_59,2014,Strep pharyngitis,15
1,Alabama,1,50_59,2015,Strep pharyngitis,13
1,Alabama,1,50_59,2016,Strep pharyngitis,10
1,Alabama,1,50_59,2017,Strep pharyngitis,25
1,Alabama,1,50_59,2018,Strep pharyngitis,26
1,Alabama,1,60_69,2010,Strep pharyngitis,3
1,Alabama,1,60_69,2011,Strep pharyngitis,3
1,Alabama,1,60_69,2012,Strep pharyngitis,1
1,Alabama,1,60_69,2013,NA,0
1,Alabama,1,60_69,2014,Strep pharyngitis,3
1,Alabama,1,60_69,2015,Strep pharyngitis,6
1,Alabama,1,60_69,2016,Strep pharyngitis,3
1,Alabama,1,60_69,2017,Strep pharyngitis,5
1,Alabama,1,60_69,2018,Strep pharyngitis,10
1,Alabama,2,00_04,2010,Strep pharyngitis,84
1,Alabama,2,00_04,2011,Strep pharyngitis,137
1,Alabama,2,00_04,2012,Strep pharyngitis,101
1,Alabama,2,00_04,2013,Strep pharyngitis,67
1,Alabama,2,00_04,2014,Strep pharyngitis,72
1,Alabama,2,00_04,2015,Strep pharyngitis,73
1,Alabama,2,00_04,2016,Strep pharyngitis,86
1,Alabama,2,00_04,2017,Strep pharyngitis,98
1,Alabama,2,00_04,2018,Strep pharyngitis,83
1,Alabama,2,05_09,2010,Strep pharyngitis,226
1,Alabama,2,05_09,2011,Strep pharyngitis,274
1,Alabama,2,05_09,2012,Strep pharyngitis,183
1,Alabama,2,05_09,2013,Strep pharyngitis,166
1,Alabama,2,05_09,2014,Strep pharyngitis,205
1,Alabama,2,05_09,2015,Strep pharyngitis,160
1,Alabama,2,05_09,2016,Strep pharyngitis,147
1,Alabama,2,05_09,2017,Strep pharyngitis,189
1,Alabama,2,05_09,2018,Strep pharyngitis,170
1,Alabama,2,10_19,2010,Strep pharyngitis,121
1,Alabama,2,10_19,2011,Strep pharyngitis,183
1,Alabama,2,10_19,2012,Strep pharyngitis,141
1,Alabama,2,10_19,2013,Strep pharyngitis,123
1,Alabama,2,10_19,2014,Strep pharyngitis,152
1,Alabama,2,10_19,2015,Strep pharyngitis,125
1,Alabama,2,10_19,2016,Strep pharyngitis,119
1,Alabama,2,10_19,2017,Strep pharyngitis,189
1,Alabama,2,10_19,2018,Strep pharyngitis,180
1,Alabama,2,20_29,2010,Strep pharyngitis,36
1,Alabama,2,20_29,2011,Strep pharyngitis,63
1,Alabama,2,20_29,2012,Strep pharyngitis,43
1,Alabama,2,20_29,2013,Strep pharyngitis,51
1,Alabama,2,20_29,2014,Strep pharyngitis,74
1,Alabama,2,20_29,2015,Strep pharyngitis,45
1,Alabama,2,20_29,2016,Strep pharyngitis,64
1,Alabama,2,20_29,2017,Strep pharyngitis,66
1,Alabama,2,20_29,2018,Strep pharyngitis,77
1,Alabama,2,30_39,2010,Strep pharyngitis,65
1,Alabama,2,30_39,2011,Strep pharyngitis,63
1,Alabama,2,30_39,2012,Strep pharyngitis,56
1,Alabama,2,30_39,2013,Strep pharyngitis,57
1,Alabama,2,30_39,2014,Strep pharyngitis,53
1,Alabama,2,30_39,2015,Strep pharyngitis,50
1,Alabama,2,30_39,2016,Strep pharyngitis,47
1,Alabama,2,30_39,2017,Strep pharyngitis,58
1,Alabama,2,30_39,2018,Strep pharyngitis,77
1,Alabama,2,40_49,2010,Strep pharyngitis,26
1,Alabama,2,40_49,2011,Strep pharyngitis,43
1,Alabama,2,40_49,2012,Strep pharyngitis,33
1,Alabama,2,40_49,2013,Strep pharyngitis,37
1,Alabama,2,40_49,2014,Strep pharyngitis,45
1,Alabama,2,40_49,2015,Strep pharyngitis,29
1,Alabama,2,40_49,2016,Strep pharyngitis,22
1,Alabama,2,40_49,2017,Strep pharyngitis,60
1,Alabama,2,40_49,2018,Strep pharyngitis,60
1,Alabama,2,50_59,2010,Strep pharyngitis,24
1,Alabama,2,50_59,2011,Strep pharyngitis,25
1,Alabama,2,50_59,2012,Strep pharyngitis,22
1,Alabama,2,50_59,2013,Strep pharyngitis,27
1,Alabama,2,50_59,2014,Strep pharyngitis,19
1,Alabama,2,50_59,2015,Strep pharyngitis,32
1,Alabama,2,50_59,2016,Strep pharyngitis,27
1,Alabama,2,50_59,2017,Strep pharyngitis,34
1,Alabama,2,50_59,2018,Strep pharyngitis,44
1,Alabama,2,60_69,2010,Strep pharyngitis,4
1,Alabama,2,60_69,2011,Strep pharyngitis,8
1,Alabama,2,60_69,2012,Strep pharyngitis,4
1,Alabama,2,60_69,2013,Strep pharyngitis,3
1,Alabama,2,60_69,2014,Strep pharyngitis,7
1,Alabama,2,60_69,2015,Strep pharyngitis,8
1,Alabama,2,60_69,2016,Strep pharyngitis,4
1,Alabama,2,60_69,2017,Strep pharyngitis,11
1,Alabama,2,60_69,2018,Strep pharyngitis,14
1,Alaska,1,00_04,2010,Strep pharyngitis,1
1,Alaska,1,00_04,2011,Strep pharyngitis,8
1,Alaska,1,00_04,2012,NA,0
1,Alaska,1,00_04,2013,NA,0
1,Alaska,1,00_04,2014,Strep pharyngitis,3
1,Alaska,1,00_04,2015,NA,0
1,Alaska,1,00_04,2016,Strep pharyngitis,1
1,Alaska,1,00_04,2017,NA,0
1,Alaska,1,00_04,2018,NA,0
1,Alaska,1,05_09,2010,Strep pharyngitis,5
1,Alaska,1,05_09,2011,Strep pharyngitis,13
1,Alaska,1,05_09,2012,Strep pharyngitis,14
1,Alaska,1,05_09,2013,Strep pharyngitis,3
1,Alaska,1,05_09,2014,Strep pharyngitis,6
1,Alaska,1,05_09,2015,Strep pharyngitis,4
1,Alaska,1,05_09,2016,Strep pharyngitis,8
1,Alaska,1,05_09,2017,Strep pharyngitis,2
1,Alaska,1,05_09,2018,Strep pharyngitis,2
1,Alaska,1,10_19,2010,Strep pharyngitis,3
1,Alaska,1,10_19,2011,Strep pharyngitis,7
1,Alaska,1,10_19,2012,Strep pharyngitis,13
1,Alaska,1,10_19,2013,Strep pharyngitis,7
1,Alaska,1,10_19,2014,Strep pharyngitis,1
1,Alaska,1,10_19,2015,Strep pharyngitis,6
1,Alaska,1,10_19,2016,Strep pharyngitis,6
1,Alaska,1,10_19,2017,Strep pharyngitis,4
1,Alaska,1,10_19,2018,Strep pharyngitis,2
1,Alaska,1,20_29,2010,NA,0
1,Alaska,1,20_29,2011,Strep pharyngitis,2
1,Alaska,1,20_29,2012,Strep pharyngitis,6
1,Alaska,1,20_29,2013,NA,0
1,Alaska,1,20_29,2014,Strep pharyngitis,1
1,Alaska,1,20_29,2015,Strep pharyngitis,1
1,Alaska,1,20_29,2016,Strep pharyngitis,2
1,Alaska,1,20_29,2017,Strep pharyngitis,2
1,Alaska,1,20_29,2018,Strep pharyngitis,1
1,Alaska,1,30_39,2010,NA,0
1,Alaska,1,30_39,2011,Strep pharyngitis,3
1,Alaska,1,30_39,2012,Strep pharyngitis,4
1,Alaska,1,30_39,2013,Strep pharyngitis,4
1,Alaska,1,30_39,2014,Strep pharyngitis,3
1,Alaska,1,30_39,2015,Strep pharyngitis,2
1,Alaska,1,30_39,2016,Strep pharyngitis,3
1,Alaska,1,30_39,2017,Strep pharyngitis,1
1,Alaska,1,30_39,2018,Strep pharyngitis,3
1,Alaska,1,40_49,2010,Strep pharyngitis,1
1,Alaska,1,40_49,2011,Strep pharyngitis,1
1,Alaska,1,40_49,2012,Strep pharyngitis,2
1,Alaska,1,40_49,2013,NA,0
1,Alaska,1,40_49,2014,Strep pharyngitis,2
1,Alaska,1,40_49,2015,NA,0
1,Alaska,1,40_49,2016,NA,0
1,Alaska,1,40_49,2017,Strep pharyngitis,2
1,Alaska,1,40_49,2018,NA,0
1,Alaska,1,50_59,2010,Strep pharyngitis,1
1,Alaska,1,50_59,2011,Strep pharyngitis,2
1,Alaska,1,50_59,2012,Strep pharyngitis,2
1,Alaska,1,50_59,2013,NA,0
1,Alaska,1,50_59,2014,Strep pharyngitis,1
1,Alaska,1,50_59,2015,NA,0
1,Alaska,1,50_59,2016,NA,0
1,Alaska,1,50_59,2017,NA,0
1,Alaska,1,50_59,2018,Strep pharyngitis,2
1,Alaska,1,60_69,2010,NA,0
1,Alaska,1,60_69,2011,NA,0
1,Alaska,1,60_69,2012,NA,0
1,Alaska,1,60_69,2013,NA,0
1,Alaska,1,60_69,2014,NA,0
1,Alaska,1,60_69,2015,NA,0
1,Alaska,1,60_69,2016,NA,0
1,Alaska,1,60_69,2017,NA,0
1,Alaska,1,60_69,2018,NA,0
1,Alaska,2,00_04,2010,Strep pharyngitis,1
1,Alaska,2,00_04,2011,Strep pharyngitis,4
1,Alaska,2,00_04,2012,Strep pharyngitis,1
1,Alaska,2,00_04,2013,Strep pharyngitis,1
1,Alaska,2,00_04,2014,Strep pharyngitis,2
1,Alaska,2,00_04,2015,NA,0
1,Alaska,2,00_04,2016,Strep pharyngitis,2
1,Alaska,2,00_04,2017,Strep pharyngitis,1
1,Alaska,2,00_04,2018,Strep pharyngitis,1
1,Alaska,2,05_09,2010,Strep pharyngitis,6
1,Alaska,2,05_09,2011,Strep pharyngitis,13
1,Alaska,2,05_09,2012,Strep pharyngitis,9
1,Alaska,2,05_09,2013,Strep pharyngitis,4
1,Alaska,2,05_09,2014,Strep pharyngitis,2
1,Alaska,2,05_09,2015,Strep pharyngitis,2
1,Alaska,2,05_09,2016,Strep pharyngitis,3
1,Alaska,2,05_09,2017,Strep pharyngitis,2
1,Alaska,2,05_09,2018,Strep pharyngitis,6
1,Alaska,2,10_19,2010,Strep pharyngitis,9
1,Alaska,2,10_19,2011,Strep pharyngitis,5
1,Alaska,2,10_19,2012,Strep pharyngitis,5
1,Alaska,2,10_19,2013,Strep pharyngitis,4
1,Alaska,2,10_19,2014,Strep pharyngitis,4
1,Alaska,2,10_19,2015,Strep pharyngitis,7
1,Alaska,2,10_19,2016,Strep pharyngitis,4
1,Alaska,2,10_19,2017,Strep pharyngitis,3
1,Alaska,2,10_19,2018,Strep pharyngitis,3
1,Alaska,2,20_29,2010,Strep pharyngitis,2
1,Alaska,2,20_29,2011,Strep pharyngitis,6
1,Alaska,2,20_29,2012,Strep pharyngitis,5
1,Alaska,2,20_29,2013,Strep pharyngitis,5
1,Alaska,2,20_29,2014,Strep pharyngitis,8
1,Alaska,2,20_29,2015,Strep pharyngitis,4
1,Alaska,2,20_29,2016,Strep pharyngitis,7
1,Alaska,2,20_29,2017,Strep pharyngitis,3
1,Alaska,2,20_29,2018,Strep pharyngitis,3
1,Alaska,2,30_39,2010,Strep pharyngitis,4
1,Alaska,2,30_39,2011,Strep pharyngitis,4
1,Alaska,2,30_39,2012,Strep pharyngitis,7
1,Alaska,2,30_39,2013,Strep pharyngitis,2
1,Alaska,2,30_39,2014,Strep pharyngitis,5
1,Alaska,2,30_39,2015,Strep pharyngitis,5
1,Alaska,2,30_39,2016,Strep pharyngitis,6
1,Alaska,2,30_39,2017,Strep pharyngitis,2
1,Alaska,2,30_39,2018,Strep pharyngitis,4
1,Alaska,2,40_49,2010,Strep pharyngitis,1
1,Alaska,2,40_49,2011,Strep pharyngitis,4
1,Alaska,2,40_49,2012,Strep pharyngitis,7
1,Alaska,2,40_49,2013,NA,0
1,Alaska,2,40_49,2014,Strep pharyngitis,2
1,Alaska,2,40_49,2015,Strep pharyngitis,8
1,Alaska,2,40_49,2016,Strep pharyngitis,1
1,Alaska,2,40_49,2017,NA,0
1,Alaska,2,40_49,2018,Strep pharyngitis,2
1,Alaska,2,50_59,2010,NA,0
1,Alaska,2,50_59,2011,Strep pharyngitis,2
1,Alaska,2,50_59,2012,NA,0
1,Alaska,2,50_59,2013,Strep pharyngitis,1
1,Alaska,2,50_59,2014,NA,0
1,Alaska,2,50_59,2015,NA,0
1,Alaska,2,50_59,2016,NA,0
1,Alaska,2,50_59,2017,Strep pharyngitis,2
1,Alaska,2,50_59,2018,Strep pharyngitis,1
1,Alaska,2,60_69,2010,NA,0
1,Alaska,2,60_69,2011,Strep pharyngitis,2
1,Alaska,2,60_69,2012,NA,0
1,Alaska,2,60_69,2013,NA,0
1,Alaska,2,60_69,2014,NA,0
1,Alaska,2,60_69,2015,Strep pharyngitis,1
1,Alaska,2,60_69,2016,NA,0
1,Alaska,2,60_69,2017,NA,0
1,Alaska,2,60_69,2018,Strep pharyngitis,1
1,Arizona,1,00_04,2010,Strep pharyngitis,104
1,Arizona,1,00_04,2011,Strep pharyngitis,180
1,Arizona,1,00_04,2012,Strep pharyngitis,100
1,Arizona,1,00_04,2013,Strep pharyngitis,112
1,Arizona,1,00_04,2014,Strep pharyngitis,96
1,Arizona,1,00_04,2015,Strep pharyngitis,74
1,Arizona,1,00_04,2016,Strep pharyngitis,88
1,Arizona,1,00_04,2017,Strep pharyngitis,59
1,Arizona,1,00_04,2018,Strep pharyngitis,84
1,Arizona,1,05_09,2010,Strep pharyngitis,180
1,Arizona,1,05_09,2011,Strep pharyngitis,284
1,Arizona,1,05_09,2012,Strep pharyngitis,176
1,Arizona,1,05_09,2013,Strep pharyngitis,222
1,Arizona,1,05_09,2014,Strep pharyngitis,151
1,Arizona,1,05_09,2015,Strep pharyngitis,144
1,Arizona,1,05_09,2016,Strep pharyngitis,171
1,Arizona,1,05_09,2017,Strep pharyngitis,106
1,Arizona,1,05_09,2018,Strep pharyngitis,146
1,Arizona,1,10_19,2010,Strep pharyngitis,97
1,Arizona,1,10_19,2011,Strep pharyngitis,179
1,Arizona,1,10_19,2012,Strep pharyngitis,129
1,Arizona,1,10_19,2013,Strep pharyngitis,151
1,Arizona,1,10_19,2014,Strep pharyngitis,104
1,Arizona,1,10_19,2015,Strep pharyngitis,81
1,Arizona,1,10_19,2016,Strep pharyngitis,119
1,Arizona,1,10_19,2017,Strep pharyngitis,97
1,Arizona,1,10_19,2018,Strep pharyngitis,118
1,Arizona,1,20_29,2010,Strep pharyngitis,26
1,Arizona,1,20_29,2011,Strep pharyngitis,40
1,Arizona,1,20_29,2012,Strep pharyngitis,37
1,Arizona,1,20_29,2013,Strep pharyngitis,32
1,Arizona,1,20_29,2014,Strep pharyngitis,29
1,Arizona,1,20_29,2015,Strep pharyngitis,31
1,Arizona,1,20_29,2016,Strep pharyngitis,34
1,Arizona,1,20_29,2017,Strep pharyngitis,40
1,Arizona,1,20_29,2018,Strep pharyngitis,36
1,Arizona,1,30_39,2010,Strep pharyngitis,33
1,Arizona,1,30_39,2011,Strep pharyngitis,55
1,Arizona,1,30_39,2012,Strep pharyngitis,43
1,Arizona,1,30_39,2013,Strep pharyngitis,46
1,Arizona,1,30_39,2014,Strep pharyngitis,28
1,Arizona,1,30_39,2015,Strep pharyngitis,28
1,Arizona,1,30_39,2016,Strep pharyngitis,24
1,Arizona,1,30_39,2017,Strep pharyngitis,35
1,Arizona,1,30_39,2018,Strep pharyngitis,42
1,Arizona,1,40_49,2010,Strep pharyngitis,20
1,Arizona,1,40_49,2011,Strep pharyngitis,28
1,Arizona,1,40_49,2012,Strep pharyngitis,21
1,Arizona,1,40_49,2013,Strep pharyngitis,25
1,Arizona,1,40_49,2014,Strep pharyngitis,14
1,Arizona,1,40_49,2015,Strep pharyngitis,18
1,Arizona,1,40_49,2016,Strep pharyngitis,10
1,Arizona,1,40_49,2017,Strep pharyngitis,16
1,Arizona,1,40_49,2018,Strep pharyngitis,19
1,Arizona,1,50_59,2010,Strep pharyngitis,6
1,Arizona,1,50_59,2011,Strep pharyngitis,10
1,Arizona,1,50_59,2012,Strep pharyngitis,9
1,Arizona,1,50_59,2013,Strep pharyngitis,14
1,Arizona,1,50_59,2014,Strep pharyngitis,9
1,Arizona,1,50_59,2015,Strep pharyngitis,11
1,Arizona,1,50_59,2016,Strep pharyngitis,10
1,Arizona,1,50_59,2017,Strep pharyngitis,10
1,Arizona,1,50_59,2018,Strep pharyngitis,9
1,Arizona,1,60_69,2010,Strep pharyngitis,3
1,Arizona,1,60_69,2011,Strep pharyngitis,3
1,Arizona,1,60_69,2012,Strep pharyngitis,2
1,Arizona,1,60_69,2013,Strep pharyngitis,1
1,Arizona,1,60_69,2014,Strep pharyngitis,1
1,Arizona,1,60_69,2015,Strep pharyngitis,3
1,Arizona,1,60_69,2016,NA,0
1,Arizona,1,60_69,2017,Strep pharyngitis,2
1,Arizona,1,60_69,2018,Strep pharyngitis,1
1,Arizona,2,00_04,2010,Strep pharyngitis,99
1,Arizona,2,00_04,2011,Strep pharyngitis,147
1,Arizona,2,00_04,2012,Strep pharyngitis,83
1,Arizona,2,00_04,2013,Strep pharyngitis,100
1,Arizona,2,00_04,2014,Strep pharyngitis,68
1,Arizona,2,00_04,2015,Strep pharyngitis,72
1,Arizona,2,00_04,2016,Strep pharyngitis,87
1,Arizona,2,00_04,2017,Strep pharyngitis,52
1,Arizona,2,00_04,2018,Strep pharyngitis,67
1,Arizona,2,05_09,2010,Strep pharyngitis,153
1,Arizona,2,05_09,2011,Strep pharyngitis,280
1,Arizona,2,05_09,2012,Strep pharyngitis,201
1,Arizona,2,05_09,2013,Strep pharyngitis,234
1,Arizona,2,05_09,2014,Strep pharyngitis,162
1,Arizona,2,05_09,2015,Strep pharyngitis,164
1,Arizona,2,05_09,2016,Strep pharyngitis,180
1,Arizona,2,05_09,2017,Strep pharyngitis,127
1,Arizona,2,05_09,2018,Strep pharyngitis,158
1,Arizona,2,10_19,2010,Strep pharyngitis,150
1,Arizona,2,10_19,2011,Strep pharyngitis,210
1,Arizona,2,10_19,2012,Strep pharyngitis,157
1,Arizona,2,10_19,2013,Strep pharyngitis,194
1,Arizona,2,10_19,2014,Strep pharyngitis,112
1,Arizona,2,10_19,2015,Strep pharyngitis,125
1,Arizona,2,10_19,2016,Strep pharyngitis,167
1,Arizona,2,10_19,2017,Strep pharyngitis,130
1,Arizona,2,10_19,2018,Strep pharyngitis,120
1,Arizona,2,20_29,2010,Strep pharyngitis,48
1,Arizona,2,20_29,2011,Strep pharyngitis,79
1,Arizona,2,20_29,2012,Strep pharyngitis,64
1,Arizona,2,20_29,2013,Strep pharyngitis,73
1,Arizona,2,20_29,2014,Strep pharyngitis,67
1,Arizona,2,20_29,2015,Strep pharyngitis,55
1,Arizona,2,20_29,2016,Strep pharyngitis,42
1,Arizona,2,20_29,2017,Strep pharyngitis,47
1,Arizona,2,20_29,2018,Strep pharyngitis,58
1,Arizona,2,30_39,2010,Strep pharyngitis,48
1,Arizona,2,30_39,2011,Strep pharyngitis,103
1,Arizona,2,30_39,2012,Strep pharyngitis,72
1,Arizona,2,30_39,2013,Strep pharyngitis,74
1,Arizona,2,30_39,2014,Strep pharyngitis,52
1,Arizona,2,30_39,2015,Strep pharyngitis,56
1,Arizona,2,30_39,2016,Strep pharyngitis,70
1,Arizona,2,30_39,2017,Strep pharyngitis,43
1,Arizona,2,30_39,2018,Strep pharyngitis,70
1,Arizona,2,40_49,2010,Strep pharyngitis,26
1,Arizona,2,40_49,2011,Strep pharyngitis,42
1,Arizona,2,40_49,2012,Strep pharyngitis,18
1,Arizona,2,40_49,2013,Strep pharyngitis,33
1,Arizona,2,40_49,2014,Strep pharyngitis,22
1,Arizona,2,40_49,2015,Strep pharyngitis,30
1,Arizona,2,40_49,2016,Strep pharyngitis,53
1,Arizona,2,40_49,2017,Strep pharyngitis,26
1,Arizona,2,40_49,2018,Strep pharyngitis,32
1,Arizona,2,50_59,2010,Strep pharyngitis,15
1,Arizona,2,50_59,2011,Strep pharyngitis,27
1,Arizona,2,50_59,2012,Strep pharyngitis,11
1,Arizona,2,50_59,2013,Strep pharyngitis,16
1,Arizona,2,50_59,2014,Strep pharyngitis,19
1,Arizona,2,50_59,2015,Strep pharyngitis,18
1,Arizona,2,50_59,2016,Strep pharyngitis,19
1,Arizona,2,50_59,2017,Strep pharyngitis,12
1,Arizona,2,50_59,2018,Strep pharyngitis,21
1,Arizona,2,60_69,2010,Strep pharyngitis,7
1,Arizona,2,60_69,2011,Strep pharyngitis,4
1,Arizona,2,60_69,2012,Strep pharyngitis,5
1,Arizona,2,60_69,2013,Strep pharyngitis,8
1,Arizona,2,60_69,2014,Strep pharyngitis,4
1,Arizona,2,60_69,2015,Strep pharyngitis,6
1,Arizona,2,60_69,2016,Strep pharyngitis,7
1,Arizona,2,60_69,2017,Strep pharyngitis,1
1,Arizona,2,60_69,2018,Strep pharyngitis,6
1,Arkansas,1,00_04,2010,Strep pharyngitis,39
1,Arkansas,1,00_04,2011,Strep pharyngitis,70
1,Arkansas,1,00_04,2012,Strep pharyngitis,37
1,Arkansas,1,00_04,2013,Strep pharyngitis,53
1,Arkansas,1,00_04,2014,Strep pharyngitis,52
1,Arkansas,1,00_04,2015,Strep pharyngitis,38
1,Arkansas,1,00_04,2016,Strep pharyngitis,32
1,Arkansas,1,00_04,2017,Strep pharyngitis,22
1,Arkansas,1,00_04,2018,Strep pharyngitis,19
1,Arkansas,1,05_09,2010,Strep pharyngitis,72
1,Arkansas,1,05_09,2011,Strep pharyngitis,126
1,Arkansas,1,05_09,2012,Strep pharyngitis,78
1,Arkansas,1,05_09,2013,Strep pharyngitis,66
1,Arkansas,1,05_09,2014,Strep pharyngitis,94
1,Arkansas,1,05_09,2015,Strep pharyngitis,69
1,Arkansas,1,05_09,2016,Strep pharyngitis,51
1,Arkansas,1,05_09,2017,Strep pharyngitis,31
1,Arkansas,1,05_09,2018,Strep pharyngitis,50
1,Arkansas,1,10_19,2010,Strep pharyngitis,46
1,Arkansas,1,10_19,2011,Strep pharyngitis,75
1,Arkansas,1,10_19,2012,Strep pharyngitis,57
1,Arkansas,1,10_19,2013,Strep pharyngitis,74
1,Arkansas,1,10_19,2014,Strep pharyngitis,70
1,Arkansas,1,10_19,2015,Strep pharyngitis,87
1,Arkansas,1,10_19,2016,Strep pharyngitis,41
1,Arkansas,1,10_19,2017,Strep pharyngitis,38
1,Arkansas,1,10_19,2018,Strep pharyngitis,29
1,Arkansas,1,20_29,2010,Strep pharyngitis,7
1,Arkansas,1,20_29,2011,Strep pharyngitis,18
1,Arkansas,1,20_29,2012,Strep pharyngitis,13
1,Arkansas,1,20_29,2013,Strep pharyngitis,18
1,Arkansas,1,20_29,2014,Strep pharyngitis,14
1,Arkansas,1,20_29,2015,Strep pharyngitis,19
1,Arkansas,1,20_29,2016,Strep pharyngitis,21
1,Arkansas,1,20_29,2017,Strep pharyngitis,1
1,Arkansas,1,20_29,2018,Strep pharyngitis,10
1,Arkansas,1,30_39,2010,Strep pharyngitis,15
1,Arkansas,1,30_39,2011,Strep pharyngitis,19
1,Arkansas,1,30_39,2012,Strep pharyngitis,18
1,Arkansas,1,30_39,2013,Strep pharyngitis,10
1,Arkansas,1,30_39,2014,Strep pharyngitis,20
1,Arkansas,1,30_39,2015,Strep pharyngitis,15
1,Arkansas,1,30_39,2016,Strep pharyngitis,9
1,Arkansas,1,30_39,2017,Strep pharyngitis,7
1,Arkansas,1,30_39,2018,Strep pharyngitis,7
1,Arkansas,1,40_49,2010,Strep pharyngitis,3
1,Arkansas,1,40_49,2011,Strep pharyngitis,16
1,Arkansas,1,40_49,2012,Strep pharyngitis,3
1,Arkansas,1,40_49,2013,Strep pharyngitis,13
1,Arkansas,1,40_49,2014,Strep pharyngitis,7
1,Arkansas,1,40_49,2015,Strep pharyngitis,10
1,Arkansas,1,40_49,2016,Strep pharyngitis,3
1,Arkansas,1,40_49,2017,Strep pharyngitis,6
1,Arkansas,1,40_49,2018,Strep pharyngitis,4
1,Arkansas,1,50_59,2010,Strep pharyngitis,3
1,Arkansas,1,50_59,2011,Strep pharyngitis,6
1,Arkansas,1,50_59,2012,Strep pharyngitis,2
1,Arkansas,1,50_59,2013,Strep pharyngitis,4
1,Arkansas,1,50_59,2014,Strep pharyngitis,8
1,Arkansas,1,50_59,2015,Strep pharyngitis,5
1,Arkansas,1,50_59,2016,Strep pharyngitis,4
1,Arkansas,1,50_59,2017,Strep pharyngitis,3
1,Arkansas,1,50_59,2018,Strep pharyngitis,8
1,Arkansas,1,60_69,2010,NA,0
1,Arkansas,1,60_69,2011,Strep pharyngitis,1
1,Arkansas,1,60_69,2012,NA,0
1,Arkansas,1,60_69,2013,NA,0
1,Arkansas,1,60_69,2014,NA,0
1,Arkansas,1,60_69,2015,Strep pharyngitis,2
1,Arkansas,1,60_69,2016,NA,0
1,Arkansas,1,60_69,2017,NA,0
1,Arkansas,1,60_69,2018,Strep pharyngitis,2
1,Arkansas,2,00_04,2010,Strep pharyngitis,30
1,Arkansas,2,00_04,2011,Strep pharyngitis,51
